%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434030665816370,-0.023203985765576363,-0.0020546256564557552,-0.07080447673797607,0.9998579025268555,-0.0009357707458548248,-0.00041458968189544976,0.016827577725052834,0.0002561378350947052,0.0004354817501734942,-0.0007081818184815347,-0.1875,0.1875,0.0625
1651434030667759734,-0.02320234104990959,-0.0020537704695016146,-0.07080239802598953,0.9998578429222107,-0.0009423386072739959,-0.0004096249467693269,0.01683017797768116,0.00033567260834388435,0.0004545214760582894,-0.0006017686100676656,-0.1875,0.1875,0.0625
1651434030669619885,-0.02320082299411297,-0.0020530002657324076,-0.0708005353808403,0.9998577833175659,-0.0009457307169213891,-0.0004070524300914258,0.016831519082188606,0.000402195961214602,0.0004671045462600887,-0.0005144815659150481,-0.1875,0.1875,0.0625
1651434030671828153,-0.023198310285806656,-0.0020539374090731144,-0.0708002895116806,0.9998578429222107,-0.0008989578927867115,-0.0004213901120238006,0.016832999885082245,0.0005084897275082767,0.0003997290914412588,-0.0005100064445286989,-0.1875,0.1875,0.0625
1651434030674117210,-0.023195862770080566,-0.002054760465398431,-0.07080020010471344,0.9998578429222107,-0.0008746471139602363,-0.00042875585495494306,0.01683381386101246,0.0005983576411381364,0.00034086016239598393,-0.0005138132837601006,-0.1875,0.1875,0.0625
1651434030676189662,-0.02319580316543579,-0.0020557388197630644,-0.0707976222038269,0.9998576641082764,-0.0008845457923598588,-0.0004233654181007296,0.016842998564243317,0.0005471156910061836,0.00023591762874275446,-0.00032014408498071134,-0.0625,0.0625,-0.0625
1651434030677917399,-0.02319565787911415,-0.002056645229458809,-0.07079526782035828,0.9998576045036316,-0.000889903400093317,-0.0004204113211017102,0.016847828403115273,0.0004923493252135813,0.00013082985242363065,-0.00013873739226255566,-0.0625,0.0625,-0.0625
1651434030682460704,-0.023195607587695122,-0.0020575879607349634,-0.07079298049211502,0.9998575448989868,-0.0008926433511078358,-0.0004188991151750088,0.016850292682647705,0.0004360313469078392,3.192245640093461e-05,2.4858611141098663e-05,-0.0625,0.0625,-0.0625
1651434030682464951,-0.02319488115608692,-0.0020573739893734455,-0.07079269737005234,0.9998578429222107,-0.0008671485120430589,-0.0004507733683567494,0.016832556575536728,0.0004292054509278387,6.778103397664381e-06,7.014189031906426e-05,-0.0625,0.0625,-0.0625
1651434030683970438,-0.02319411188364029,-0.002057241043075919,-0.07079234719276428,0.999858021736145,-0.0008532317588105798,-0.00046818601549603045,0.016822725534439087,0.0004129349545110017,-2.9687167625525035e-05,0.00012306183634791523,-0.0625,0.0625,-0.0625
1651434030685792112,-0.023193560540676117,-0.0020562163554131985,-0.07079052925109863,0.9998579025268555,-0.000824287417344749,-0.000506078009493649,0.016831275075674057,0.0003943104820791632,-1.6839399904711172e-05,0.0002350402355659753,-0.0625,0.0625,-0.0625
1651434030687868913,-0.02319307252764702,-0.0020553446374833584,-0.07078878581523895,0.9998577833175659,-0.0008092874195426702,-0.0005257215816527605,0.016835680231451988,0.00037015913403593004,-1.5570321920677088e-05,0.0003355689696036279,-0.0625,0.0625,-0.0625
1651434030690240026,-0.023193059489130974,-0.0020581884309649467,-0.07078638672828674,0.9998579621315002,-0.0008669212693348527,-0.0005227885558269918,0.01682383380830288,0.0003279306401964277,-0.00018457551777828485,0.00045654273708350956,-0.0625,0.0625,-0.0625
1651434030692006456,-0.023193130269646645,-0.0020608166232705116,-0.07078421115875244,0.999858021736145,-0.0008956465753726661,-0.0005213323747739196,0.016817934811115265,0.00028673847555182874,-0.0003275703638792038,0.0005558913690038025,-0.0625,0.0625,-0.0625
1651434030694630921,-0.023190787062048912,-0.0020621614530682564,-0.0707816556096077,0.9998574256896973,-0.0008308831020258367,-0.0004898976185359061,0.016856297850608826,0.00035916274646297097,-0.0003988254175055772,0.0006636360776610672,-0.0625,0.0625,-0.0625
1651434030696202454,-0.02319151908159256,-0.0020628797356039286,-0.07078202813863754,0.9998582005500793,-0.0008688014931976795,-0.0005105437594465911,0.01680910959839821,0.00027645169757306576,-0.00043453628313727677,0.000622590072453022,-0.0625,0.0625,-0.0625
1651434030697807503,-0.0231923907995224,-0.002063297899439931,-0.07078272104263306,0.999858558177948,-0.0008857662323862314,-0.0005199202569201589,0.016787992790341377,0.0002072171337204054,-0.00045342775410972536,0.0005770801217295229,-0.0625,0.0625,-0.0625
