%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287563815064000,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,0.0,0.25,-0.125
1644287563823680761,-0.03999999910593033,0.0,0.07999999821186066,-0.0625,-0.1875,0.0
1644287563835041964,-0.03999999910593033,-0.029999999329447746,0.10000000149011612,0.0,0.1875,-0.125
1644287563844896542,-0.05000000074505806,-0.009999999776482582,0.05000000074505806,-0.125,0.125,0.0
1644287563853283897,-0.07000000029802322,-0.019999999552965164,0.07000000029802322,0.1875,0.25,-0.0625
1644287563866506855,-0.03999999910593033,0.0,0.10000000149011612,-0.125,0.0625,-0.125
1644287563873323540,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,-0.0625,0.0,0.0
1644287563884613809,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,0.0625,-0.25,0.0625
1644287563905581313,-0.03999999910593033,0.0,0.05999999865889549,0.0625,0.0625,-0.1875
1644287563905594249,-0.03999999910593033,-0.019999999552965164,0.07999999821186066,-0.125,-0.0625,-0.25
1644287563913729867,-0.05000000074505806,-0.029999999329447746,0.07999999821186066,-0.0625,-0.125,0.0625
1644287563932332632,-0.05999999865889549,-0.009999999776482582,0.07000000029802322,0.0625,-0.125,0.125
1644287563933173668,-0.029999999329447746,0.0,0.10000000149011612,-0.125,-0.125,0.0
1644287563944422134,-0.03999999910593033,-0.019999999552965164,0.07000000029802322,-0.0625,-0.3125,0.0
1644287563954540918,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,-0.0625,-0.3125,0.0
1644287563965345356,-0.05999999865889549,-0.019999999552965164,0.07000000029802322,0.0625,0.1875,0.0625
1644287563973531467,-0.05999999865889549,-0.009999999776482582,0.07000000029802322,-0.0625,0.0,-0.1875
1644287563983392639,-0.029999999329447746,-0.029999999329447746,0.10999999940395355,0.0,0.0,-0.1875
1644287563993434504,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,-0.0625,0.0,0.0
1644287564008992266,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,0.0,0.1875,-0.1875
1644287564013342733,-0.05000000074505806,-0.009999999776482582,0.07999999821186066,0.0625,0.375,-0.0625
1644287564024401871,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,-0.0625,-0.3125,0.0
1644287564035952198,-0.03999999910593033,0.0,0.10000000149011612,0.0625,0.0,0.0625
1644287564043808802,-0.029999999329447746,0.0,0.07000000029802322,0.0,-0.0625,0.0
1644287564055446869,-0.05000000074505806,0.0,0.07999999821186066,0.0,0.125,-0.0625
1644287564065067571,-0.029999999329447746,-0.029999999329447746,0.10999999940395355,-0.0625,0.1875,-0.125
1644287564074568458,-0.05000000074505806,-0.009999999776482582,0.07999999821186066,-0.0625,-0.125,-0.0625
1644287564085165335,-0.029999999329447746,0.0,0.09000000357627869,-0.125,-0.0625,-0.0625
1644287564094960478,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,-0.1875,-0.0625,0.0
