%time,field.data
1646148405783305559,time:1646148405.7826936, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405802307722,time:1646148405.801957, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405823196080,time:1646148405.8228445, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405843392140,time:1646148405.8428388, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405863626760,time:1646148405.8632233, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405885717338,time:1646148405.8849576, thrl:0.00048828125, r:-0.000518798828125, p:0.41278076171875, y:-0.005401611328125, a:0.00048828125
1646148405902849453,time:1646148405.9025476, thrl:0.00048828125, r:-0.000518798828125, p:0.385406494140625, y:-0.005401611328125, a:0.00048828125
1646148405924100707,time:1646148405.923002, thrl:0.00048828125, r:-0.000518798828125, p:0.2935791015625, y:-0.005401611328125, a:0.00048828125
1646148405943401539,time:1646148405.9426472, thrl:0.00048828125, r:-0.000518798828125, p:0.239837646484375, y:-0.005401611328125, a:0.00048828125
1646148405963322814,time:1646148405.9629865, thrl:0.00048828125, r:-0.000518798828125, p:0.239837646484375, y:-0.005401611328125, a:0.00048828125
1646148405986761203,time:1646148405.9847958, thrl:0.00048828125, r:-0.000518798828125, p:0.239837646484375, y:-0.005401611328125, a:0.00048828125
1646148406002698849,time:1646148406.0023687, thrl:0.00048828125, r:-0.000518798828125, p:0.222259521484375, y:-0.005401611328125, a:0.00048828125
1646148406022525905,time:1646148406.0221968, thrl:0.00048828125, r:-0.000518798828125, p:0.222259521484375, y:-0.005401611328125, a:0.00048828125
1646148406042890800,time:1646148406.0424838, thrl:0.00048828125, r:-0.000518798828125, p:0.222259521484375, y:-0.005401611328125, a:0.00048828125
1646148406063776457,time:1646148406.0632505, thrl:0.00048828125, r:-0.000518798828125, p:0.221282958984375, y:-0.005401611328125, a:0.00048828125
1646148406085086354,time:1646148406.0847821, thrl:0.00048828125, r:-0.000518798828125, p:0.221282958984375, y:-0.005401611328125, a:0.00048828125
1646148406102370096,time:1646148406.1019692, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406122443913,time:1646148406.1222436, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406142904992,time:1646148406.1425912, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406163232571,time:1646148406.1630003, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406183539834,time:1646148406.1825013, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406202517780,time:1646148406.2022502, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406222117211,time:1646148406.2219028, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406243100070,time:1646148406.2427797, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406262856371,time:1646148406.2626512, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406282057306,time:1646148406.2818418, thrl:0.00048828125, r:-0.000518798828125, p:0.220306396484375, y:-0.005401611328125, a:0.00048828125
1646148406302579655,time:1646148406.3023803, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406323015295,time:1646148406.3227143, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406342800429,time:1646148406.3425891, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406362853815,time:1646148406.3625708, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406382848959,time:1646148406.3821719, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406402815228,time:1646148406.40253, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406423008601,time:1646148406.4224956, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406443070049,time:1646148406.4428551, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406463591801,time:1646148406.4631705, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406483113096,time:1646148406.4827023, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406502577875,time:1646148406.5023632, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
