%time,field.data
1650909037939095574,time:1650909037.9387395, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037959412067,time:1650909037.9589138, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037980489683,time:1650909037.9801173, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037999604680,time:1650909037.9992633, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038019212751,time:1650909038.0187929, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038039264104,time:1650909038.0389068, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038058756614,time:1650909038.0584211, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038079867500,time:1650909038.0793939, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038099131910,time:1650909038.0987234, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038120473752,time:1650909038.1197054, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038141403374,time:1650909038.1387565, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038160052202,time:1650909038.159365, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038179754343,time:1650909038.1794996, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038199058198,time:1650909038.198688, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038218793118,time:1650909038.218532, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038239618819,time:1650909038.2390323, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038259768674,time:1650909038.2592862, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038279535965,time:1650909038.2790353, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038298963170,time:1650909038.2987049, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
